     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    194400,     14803,         0,    11.3,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
      3046,       225,         0,   0.156,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
       256,        19,         0,   0.031,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
        18,         2,         0,   0.016,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
    133166,     10027,         0,    7.42,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
      4581,       358,         0,   0.218,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
       200,        15,         0,   0.078,pymatching,7c66fe6547ef84b08846fb8103c2f1e9f6764a58f9d17347861cedcb38aa01a2,"{""d"":11,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":11,""rounds"":33}}",
       600,        35,         0,   0.172,pymatching,7c66fe6547ef84b08846fb8103c2f1e9f6764a58f9d17347861cedcb38aa01a2,"{""d"":11,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":11,""rounds"":33}}",
      1800,        82,         0,   0.375,pymatching,7c66fe6547ef84b08846fb8103c2f1e9f6764a58f9d17347861cedcb38aa01a2,"{""d"":11,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":11,""rounds"":33}}",
     81000,      4911,         0,    10.3,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
